topic, metric, value, alpha, gamma, eta, inference, dataset
38,itd,9.96226,1.00E-05,1.00E-05,0.000114,crs,denews
39,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
40,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
41,itd,9.98113,1.00E-05,1.00E-05,0.000114,crs,denews
42,itd,9.98113,1.00E-05,1.00E-05,0.000114,crs,denews
43,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
44,itd,9.96226,1.00E-05,1.00E-05,0.000114,crs,denews
45,itd,9.9434,1.00E-05,1.00E-05,0.000114,crs,denews
46,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
47,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
48,itd,9.96226,1.00E-05,1.00E-05,0.000114,crs,denews
49,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
50,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
51,itd,9.88679,1.00E-05,1.00E-05,0.000114,crs,denews
52,itd,9.90566,1.00E-05,1.00E-05,0.000114,crs,denews
53,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
0,pmi,19.6648,1.00E-05,1.00E-05,0.000114,crs,denews
1,pmi,-21.9979,1.00E-05,1.00E-05,0.000114,crs,denews
2,pmi,48.7937,1.00E-05,1.00E-05,0.000114,crs,denews
3,pmi,61.2857,1.00E-05,1.00E-05,0.000114,crs,denews
4,pmi,52.9131,1.00E-05,1.00E-05,0.000114,crs,denews
5,pmi,84.9891,1.00E-05,1.00E-05,0.000114,crs,denews
6,pmi,55.2499,1.00E-05,1.00E-05,0.000114,crs,denews
7,pmi,58.8483,1.00E-05,1.00E-05,0.000114,crs,denews
8,pmi,62.284,1.00E-05,1.00E-05,0.000114,crs,denews
9,pmi,45.5784,1.00E-05,1.00E-05,0.000114,crs,denews
10,pmi,89.3135,1.00E-05,1.00E-05,0.000114,crs,denews
11,pmi,0.86457,1.00E-05,1.00E-05,0.000114,crs,denews
12,pmi,8.27428,1.00E-05,1.00E-05,0.000114,crs,denews
13,pmi,28.8612,1.00E-05,1.00E-05,0.000114,crs,denews
14,pmi,52.5922,1.00E-05,1.00E-05,0.000114,crs,denews
15,pmi,17.0271,1.00E-05,1.00E-05,0.000114,crs,denews
16,pmi,52.984,1.00E-05,1.00E-05,0.000114,crs,denews
17,pmi,62.7876,1.00E-05,1.00E-05,0.000114,crs,denews
18,pmi,12.55969,1.00E-05,1.00E-05,0.000114,crs,denews
19,pmi,5.045551,1.00E-05,1.00E-05,0.000114,crs,denews
20,pmi,35.978,1.00E-05,1.00E-05,0.000114,crs,denews
21,pmi,38.7332,1.00E-05,1.00E-05,0.000114,crs,denews
22,pmi,97.484,1.00E-05,1.00E-05,0.000114,crs,denews
23,pmi,86.8583,1.00E-05,1.00E-05,0.000114,crs,denews
24,pmi,52.6336,1.00E-05,1.00E-05,0.000114,crs,denews
25,pmi,45.5573,1.00E-05,1.00E-05,0.000114,crs,denews
26,pmi,71.1552,1.00E-05,1.00E-05,0.000114,crs,denews
27,pmi,11.3706,1.00E-05,1.00E-05,0.000114,crs,denews
28,pmi,26.7654,1.00E-05,1.00E-05,0.000114,crs,denews
29,pmi,58.1809,1.00E-05,1.00E-05,0.000114,crs,denews
30,pmi,28.0547,1.00E-05,1.00E-05,0.000114,crs,denews
31,pmi,16.7022,1.00E-05,1.00E-05,0.000114,crs,denews
32,pmi,46.3097,1.00E-05,1.00E-05,0.000114,crs,denews
33,pmi,-23.4148,1.00E-05,1.00E-05,0.000114,crs,denews
34,pmi,52.7887,1.00E-05,1.00E-05,0.000114,crs,denews
35,pmi,-0.89033,1.00E-05,1.00E-05,0.000114,crs,denews
36,pmi,-14.6525,1.00E-05,1.00E-05,0.000114,crs,denews
37,pmi,56.5131,1.00E-05,1.00E-05,0.000114,crs,denews
38,pmi,38.8983,1.00E-05,1.00E-05,0.000114,crs,denews
39,pmi,75.0399,1.00E-05,1.00E-05,0.000114,crs,denews
40,pmi,-45.3091,1.00E-05,1.00E-05,0.000114,crs,denews
41,pmi,79.7684,1.00E-05,1.00E-05,0.000114,crs,denews
42,pmi,-17.4739,1.00E-05,1.00E-05,0.000114,crs,denews
43,pmi,-36.06,1.00E-05,1.00E-05,0.000114,crs,denews
44,pmi,2.50242,1.00E-05,1.00E-05,0.000114,crs,denews
45,pmi,18.2811,1.00E-05,1.00E-05,0.000114,crs,denews
46,pmi,24.6189,1.00E-05,1.00E-05,0.000114,crs,denews
47,pmi,124.447,1.00E-05,1.00E-05,0.000114,crs,denews
48,pmi,48.6665,1.00E-05,1.00E-05,0.000114,crs,denews
49,pmi,-13.0174,1.00E-05,1.00E-05,0.000114,crs,denews
50,pmi,-50.9843,1.00E-05,1.00E-05,0.000114,crs,denews
51,pmi,35.6144,1.00E-05,1.00E-05,0.000114,crs,denews
52,pmi,29.6076,1.00E-05,1.00E-05,0.000114,crs,denews
53,pmi,22.5902,1.00E-05,1.00E-05,0.000114,crs,denews
0,scs,-339.762,1.00E-05,1.00E-05,0.000114,crs,denews
1,scs,-343.004,1.00E-05,1.00E-05,0.000114,crs,denews
2,scs,-247.598,1.00E-05,1.00E-05,0.000114,crs,denews
3,scs,-233.109,1.00E-05,1.00E-05,0.000114,crs,denews
4,scs,-265.399,1.00E-05,1.00E-05,0.000114,crs,denews
5,scs,-232.729,1.00E-05,1.00E-05,0.000114,crs,denews
6,scs,-383.784,1.00E-05,1.00E-05,0.000114,crs,denews
7,scs,-293.125,1.00E-05,1.00E-05,0.000114,crs,denews
8,scs,-289.848,1.00E-05,1.00E-05,0.000114,crs,denews
9,scs,-219.474,1.00E-05,1.00E-05,0.000114,crs,denews
10,scs,-304.566,1.00E-05,1.00E-05,0.000114,crs,denews
11,scs,-271.972,1.00E-05,1.00E-05,0.000114,crs,denews
12,scs,-309.758,1.00E-05,1.00E-05,0.000114,crs,denews
13,scs,-315.402,1.00E-05,1.00E-05,0.000114,crs,denews
14,scs,-310.295,1.00E-05,1.00E-05,0.000114,crs,denews
15,scs,-332.595,1.00E-05,1.00E-05,0.000114,crs,denews
16,scs,-214.446,1.00E-05,1.00E-05,0.000114,crs,denews
17,scs,-331.562,1.00E-05,1.00E-05,0.000114,crs,denews
18,scs,-291.853,1.00E-05,1.00E-05,0.000114,crs,denews
19,scs,-294.544,1.00E-05,1.00E-05,0.000114,crs,denews
20,scs,-224.818,1.00E-05,1.00E-05,0.000114,crs,denews
21,scs,-297.412,1.00E-05,1.00E-05,0.000114,crs,denews
22,scs,-244.815,1.00E-05,1.00E-05,0.000114,crs,denews
23,scs,-237.167,1.00E-05,1.00E-05,0.000114,crs,denews
24,scs,-295.27,1.00E-05,1.00E-05,0.000114,crs,denews
25,scs,-323.865,1.00E-05,1.00E-05,0.000114,crs,denews
26,scs,-330.118,1.00E-05,1.00E-05,0.000114,crs,denews
27,scs,-220.925,1.00E-05,1.00E-05,0.000114,crs,denews
28,scs,-301.224,1.00E-05,1.00E-05,0.000114,crs,denews
29,scs,-310.236,1.00E-05,1.00E-05,0.000114,crs,denews
30,scs,-213.547,1.00E-05,1.00E-05,0.000114,crs,denews
31,scs,-359.466,1.00E-05,1.00E-05,0.000114,crs,denews
32,scs,-312.956,1.00E-05,1.00E-05,0.000114,crs,denews
33,scs,-258.585,1.00E-05,1.00E-05,0.000114,crs,denews
34,scs,-133.675,1.00E-05,1.00E-05,0.000114,crs,denews
35,scs,-303.051,1.00E-05,1.00E-05,0.000114,crs,denews
36,scs,-254.649,1.00E-05,1.00E-05,0.000114,crs,denews
37,scs,-247.829,1.00E-05,1.00E-05,0.000114,crs,denews
38,scs,-184.224,1.00E-05,1.00E-05,0.000114,crs,denews
39,scs,-220.469,1.00E-05,1.00E-05,0.000114,crs,denews
40,scs,-268.442,1.00E-05,1.00E-05,0.000114,crs,denews
41,scs,-165.22,1.00E-05,1.00E-05,0.000114,crs,denews
42,scs,-351.223,1.00E-05,1.00E-05,0.000114,crs,denews
43,scs,-266.224,1.00E-05,1.00E-05,0.000114,crs,denews
44,scs,-251.208,1.00E-05,1.00E-05,0.000114,crs,denews
45,scs,-255.704,1.00E-05,1.00E-05,0.000114,crs,denews
46,scs,-278.366,1.00E-05,1.00E-05,0.000114,crs,denews
47,scs,-289.063,1.00E-05,1.00E-05,0.000114,crs,denews
48,scs,-352.902,1.00E-05,1.00E-05,0.000114,crs,denews
49,scs,-338.398,1.00E-05,1.00E-05,0.000114,crs,denews
50,scs,-310.924,1.00E-05,1.00E-05,0.000114,crs,denews
51,scs,-287.198,1.00E-05,1.00E-05,0.000114,crs,denews
52,scs,-278.046,1.00E-05,1.00E-05,0.000114,crs,denews
53,scs,-303.543,1.00E-05,1.00E-05,0.000114,crs,denews
0,itd,9.86667,1.00E-05,1.00E-05,0.000114,null,denews
1,itd,9.93333,1.00E-05,1.00E-05,0.000114,null,denews
2,itd,9.95556,1.00E-05,1.00E-05,0.000114,null,denews
3,itd,9.93333,1.00E-05,1.00E-05,0.000114,null,denews
4,itd,9.8,1.00E-05,1.00E-05,0.000114,null,denews
5,itd,9.86667,1.00E-05,1.00E-05,0.000114,null,denews
6,itd,9.75556,1.00E-05,1.00E-05,0.000114,null,denews
7,itd,10,1.00E-05,1.00E-05,0.000114,null,denews
8,itd,10,1.00E-05,1.00E-05,0.000114,null,denews
9,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
10,itd,9.93333,1.00E-05,1.00E-05,0.000114,null,denews
11,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
12,itd,9.93333,1.00E-05,1.00E-05,0.000114,null,denews
13,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
14,itd,10,1.00E-05,1.00E-05,0.000114,null,denews
15,itd,9.91111,1.00E-05,1.00E-05,0.000114,null,denews
16,itd,10,1.00E-05,1.00E-05,0.000114,null,denews
17,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
18,itd,10,1.00E-05,1.00E-05,0.000114,null,denews
19,itd,9.93333,1.00E-05,1.00E-05,0.000114,null,denews
20,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
21,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
22,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
23,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
24,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
25,itd,10,1.00E-05,1.00E-05,0.000114,null,denews
26,itd,10,1.00E-05,1.00E-05,0.000114,null,denews
27,itd,10,1.00E-05,1.00E-05,0.000114,null,denews
28,itd,10,1.00E-05,1.00E-05,0.000114,null,denews
29,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
30,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
31,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
32,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
33,itd,10,1.00E-05,1.00E-05,0.000114,null,denews
34,itd,9.91111,1.00E-05,1.00E-05,0.000114,null,denews
35,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
36,itd,9.95556,1.00E-05,1.00E-05,0.000114,null,denews
37,itd,10,1.00E-05,1.00E-05,0.000114,null,denews
38,itd,9.86667,1.00E-05,1.00E-05,0.000114,null,denews
39,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
40,itd,9.95556,1.00E-05,1.00E-05,0.000114,null,denews
41,itd,9.84444,1.00E-05,1.00E-05,0.000114,null,denews
42,itd,9.97778,1.00E-05,1.00E-05,0.000114,null,denews
43,itd,10,1.00E-05,1.00E-05,0.000114,null,denews
44,itd,9.91111,1.00E-05,1.00E-05,0.000114,null,denews
45,itd,10,1.00E-05,1.00E-05,0.000114,null,denews
0,pmi,66.1552,1.00E-05,1.00E-05,0.000114,null,denews
1,pmi,70.8445,1.00E-05,1.00E-05,0.000114,null,denews
2,pmi,-15.8792,1.00E-05,1.00E-05,0.000114,null,denews
3,pmi,41.2668,1.00E-05,1.00E-05,0.000114,null,denews
4,pmi,57.4067,1.00E-05,1.00E-05,0.000114,null,denews
5,pmi,49.6238,1.00E-05,1.00E-05,0.000114,null,denews
6,pmi,49.6248,1.00E-05,1.00E-05,0.000114,null,denews
7,pmi,37.9184,1.00E-05,1.00E-05,0.000114,null,denews
8,pmi,35.8211,1.00E-05,1.00E-05,0.000114,null,denews
9,pmi,12.0487,1.00E-05,1.00E-05,0.000114,null,denews
10,pmi,78.3718,1.00E-05,1.00E-05,0.000114,null,denews
11,pmi,52.8402,1.00E-05,1.00E-05,0.000114,null,denews
12,pmi,54.4449,1.00E-05,1.00E-05,0.000114,null,denews
13,pmi,48.2011,1.00E-05,1.00E-05,0.000114,null,denews
14,pmi,66.0743,1.00E-05,1.00E-05,0.000114,null,denews
15,pmi,-39.3545,1.00E-05,1.00E-05,0.000114,null,denews
16,pmi,-13.1908,1.00E-05,1.00E-05,0.000114,null,denews
17,pmi,47.5872,1.00E-05,1.00E-05,0.000114,null,denews
18,pmi,21.9132,1.00E-05,1.00E-05,0.000114,null,denews
19,pmi,67.675,1.00E-05,1.00E-05,0.000114,null,denews
20,pmi,55.3813,1.00E-05,1.00E-05,0.000114,null,denews
21,pmi,-1.97586,1.00E-05,1.00E-05,0.000114,null,denews
22,pmi,8.68289,1.00E-05,1.00E-05,0.000114,null,denews
23,pmi,68.4179,1.00E-05,1.00E-05,0.000114,null,denews
24,pmi,31.1938,1.00E-05,1.00E-05,0.000114,null,denews
25,pmi,39.7283,1.00E-05,1.00E-05,0.000114,null,denews
26,pmi,-89.428,1.00E-05,1.00E-05,0.000114,null,denews
27,pmi,-17.9266,1.00E-05,1.00E-05,0.000114,null,denews
28,pmi,4.10579,1.00E-05,1.00E-05,0.000114,null,denews
29,pmi,-16.2377,1.00E-05,1.00E-05,0.000114,null,denews
30,pmi,11.0761,1.00E-05,1.00E-05,0.000114,null,denews
31,pmi,22.9545,1.00E-05,1.00E-05,0.000114,null,denews
32,pmi,9.23014,1.00E-05,1.00E-05,0.000114,null,denews
33,pmi,-18.4848,1.00E-05,1.00E-05,0.000114,null,denews
34,pmi,53.8075,1.00E-05,1.00E-05,0.000114,null,denews
35,pmi,12.9486,1.00E-05,1.00E-05,0.000114,null,denews
36,pmi,51.302,1.00E-05,1.00E-05,0.000114,null,denews
37,pmi,-64.0885,1.00E-05,1.00E-05,0.000114,null,denews
38,pmi,23.8616,1.00E-05,1.00E-05,0.000114,null,denews
39,pmi,-66.2132,1.00E-05,1.00E-05,0.000114,null,denews
40,pmi,-3.80863,1.00E-05,1.00E-05,0.000114,null,denews
41,pmi,64.9194,1.00E-05,1.00E-05,0.000114,null,denews
42,pmi,-35.8453,1.00E-05,1.00E-05,0.000114,null,denews
43,pmi,25.1469,1.00E-05,1.00E-05,0.000114,null,denews
44,pmi,-21.7515,1.00E-05,1.00E-05,0.000114,null,denews
45,pmi,-64.6305,1.00E-05,1.00E-05,0.000114,null,denews
0,scs,-335.118,1.00E-05,1.00E-05,0.000114,null,denews
1,scs,-313.476,1.00E-05,1.00E-05,0.000114,null,denews
2,scs,-297.717,1.00E-05,1.00E-05,0.000114,null,denews
3,scs,-302.619,1.00E-05,1.00E-05,0.000114,null,denews
4,scs,-252.563,1.00E-05,1.00E-05,0.000114,null,denews
5,scs,-321.052,1.00E-05,1.00E-05,0.000114,null,denews
6,scs,-218.956,1.00E-05,1.00E-05,0.000114,null,denews
7,scs,-296.378,1.00E-05,1.00E-05,0.000114,null,denews
8,scs,-295.22,1.00E-05,1.00E-05,0.000114,null,denews
9,scs,-338.233,1.00E-05,1.00E-05,0.000114,null,denews
10,scs,-303.351,1.00E-05,1.00E-05,0.000114,null,denews
11,scs,-321.365,1.00E-05,1.00E-05,0.000114,null,denews
12,scs,-305.409,1.00E-05,1.00E-05,0.000114,null,denews
13,scs,-296.905,1.00E-05,1.00E-05,0.000114,null,denews
14,scs,-282.376,1.00E-05,1.00E-05,0.000114,null,denews
15,scs,-340.288,1.00E-05,1.00E-05,0.000114,null,denews
16,scs,-279.633,1.00E-05,1.00E-05,0.000114,null,denews
17,scs,-321.388,1.00E-05,1.00E-05,0.000114,null,denews
18,scs,-315.263,1.00E-05,1.00E-05,0.000114,null,denews
19,scs,-199.754,1.00E-05,1.00E-05,0.000114,null,denews
20,scs,-141.678,1.00E-05,1.00E-05,0.000114,null,denews
21,scs,-264.503,1.00E-05,1.00E-05,0.000114,null,denews
22,scs,-360.707,1.00E-05,1.00E-05,0.000114,null,denews
23,scs,-237.459,1.00E-05,1.00E-05,0.000114,null,denews
24,scs,-234.527,1.00E-05,1.00E-05,0.000114,null,denews
25,scs,-300.541,1.00E-05,1.00E-05,0.000114,null,denews
26,scs,-245.902,1.00E-05,1.00E-05,0.000114,null,denews
27,scs,-267.247,1.00E-05,1.00E-05,0.000114,null,denews
28,scs,-337.753,1.00E-05,1.00E-05,0.000114,null,denews
29,scs,-291.143,1.00E-05,1.00E-05,0.000114,null,denews
30,scs,-185.006,1.00E-05,1.00E-05,0.000114,null,denews
31,scs,-281.961,1.00E-05,1.00E-05,0.000114,null,denews
32,scs,-321.235,1.00E-05,1.00E-05,0.000114,null,denews
33,scs,-314.625,1.00E-05,1.00E-05,0.000114,null,denews
34,scs,-227.676,1.00E-05,1.00E-05,0.000114,null,denews
35,scs,-357.17,1.00E-05,1.00E-05,0.000114,null,denews
36,scs,-303.602,1.00E-05,1.00E-05,0.000114,null,denews
37,scs,-304.488,1.00E-05,1.00E-05,0.000114,null,denews
38,scs,-340.994,1.00E-05,1.00E-05,0.000114,null,denews
39,scs,-244.617,1.00E-05,1.00E-05,0.000114,null,denews
40,scs,-274.114,1.00E-05,1.00E-05,0.000114,null,denews
41,scs,-220.648,1.00E-05,1.00E-05,0.000114,null,denews
42,scs,-294.818,1.00E-05,1.00E-05,0.000114,null,denews
43,scs,-277.327,1.00E-05,1.00E-05,0.000114,null,denews
44,scs,-308.484,1.00E-05,1.00E-05,0.000114,null,denews
45,scs,-323.338,1.00E-05,1.00E-05,0.000114,null,denews
0,itd,9.8,1.00E-05,1.00E-05,0.000114,rand,denews
1,itd,9.88333,1.00E-05,1.00E-05,0.000114,rand,denews
2,itd,9.98333,1.00E-05,1.00E-05,0.000114,rand,denews
3,itd,9.98333,1.00E-05,1.00E-05,0.000114,rand,denews
4,itd,9.85,1.00E-05,1.00E-05,0.000114,rand,denews
5,itd,9.73333,1.00E-05,1.00E-05,0.000114,rand,denews
6,itd,9.7,1.00E-05,1.00E-05,0.000114,rand,denews
7,itd,9.71667,1.00E-05,1.00E-05,0.000114,rand,denews
8,itd,9.98333,1.00E-05,1.00E-05,0.000114,rand,denews
9,itd,9.88333,1.00E-05,1.00E-05,0.000114,rand,denews
10,itd,9.93333,1.00E-05,1.00E-05,0.000114,rand,denews
11,itd,9.93333,1.00E-05,1.00E-05,0.000114,rand,denews
12,itd,9.8,1.00E-05,1.00E-05,0.000114,rand,denews
13,itd,9.96667,1.00E-05,1.00E-05,0.000114,rand,denews
14,itd,9.98333,1.00E-05,1.00E-05,0.000114,rand,denews
15,itd,9.96667,1.00E-05,1.00E-05,0.000114,rand,denews
16,itd,9.98333,1.00E-05,1.00E-05,0.000114,rand,denews
17,itd,9.96667,1.00E-05,1.00E-05,0.000114,rand,denews
18,itd,9.96667,1.00E-05,1.00E-05,0.000114,rand,denews
19,itd,10,1.00E-05,1.00E-05,0.000114,rand,denews
20,itd,10,1.00E-05,1.00E-05,0.000114,rand,denews
21,itd,9.88333,1.00E-05,1.00E-05,0.000114,rand,denews
22,itd,9.93333,1.00E-05,1.00E-05,0.000114,rand,denews
23,itd,9.9,1.00E-05,1.00E-05,0.000114,rand,denews
24,itd,9.98333,1.00E-05,1.00E-05,0.000114,rand,denews
25,itd,9.96667,1.00E-05,1.00E-05,0.000114,rand,denews
26,itd,10,1.00E-05,1.00E-05,0.000114,rand,denews
27,itd,10,1.00E-05,1.00E-05,0.000114,rand,denews
28,itd,9.96667,1.00E-05,1.00E-05,0.000114,rand,denews
29,itd,9.91667,1.00E-05,1.00E-05,0.000114,rand,denews
30,itd,9.96667,1.00E-05,1.00E-05,0.000114,rand,denews
31,itd,9.96667,1.00E-05,1.00E-05,0.000114,rand,denews
32,itd,9.95,1.00E-05,1.00E-05,0.000114,rand,denews
33,itd,9.91667,1.00E-05,1.00E-05,0.000114,rand,denews
34,itd,9.95,1.00E-05,1.00E-05,0.000114,rand,denews
35,itd,9.98333,1.00E-05,1.00E-05,0.000114,rand,denews
36,itd,10,1.00E-05,1.00E-05,0.000114,rand,denews
37,itd,9.96667,1.00E-05,1.00E-05,0.000114,rand,denews
38,itd,9.96667,1.00E-05,1.00E-05,0.000114,rand,denews
39,itd,9.9,1.00E-05,1.00E-05,0.000114,rand,denews
40,itd,9.98333,1.00E-05,1.00E-05,0.000114,rand,denews
41,itd,9.93333,1.00E-05,1.00E-05,0.000114,rand,denews
42,itd,10,1.00E-05,1.00E-05,0.000114,rand,denews
43,itd,9.98333,1.00E-05,1.00E-05,0.000114,rand,denews
44,itd,10,1.00E-05,1.00E-05,0.000114,rand,denews
45,itd,9.95,1.00E-05,1.00E-05,0.000114,rand,denews
46,itd,9.91667,1.00E-05,1.00E-05,0.000114,rand,denews
47,itd,10,1.00E-05,1.00E-05,0.000114,rand,denews
48,itd,9.98333,1.00E-05,1.00E-05,0.000114,rand,denews
49,itd,10,1.00E-05,1.00E-05,0.000114,rand,denews
50,itd,9.98333,1.00E-05,1.00E-05,0.000114,rand,denews
51,itd,9.93333,1.00E-05,1.00E-05,0.000114,rand,denews
52,itd,9.98333,1.00E-05,1.00E-05,0.000114,rand,denews
53,itd,9.96667,1.00E-05,1.00E-05,0.000114,rand,denews
54,itd,9.98333,1.00E-05,1.00E-05,0.000114,rand,denews
55,itd,10,1.00E-05,1.00E-05,0.000114,rand,denews
56,itd,9.86667,1.00E-05,1.00E-05,0.000114,rand,denews
57,itd,9.96667,1.00E-05,1.00E-05,0.000114,rand,denews
58,itd,10,1.00E-05,1.00E-05,0.000114,rand,denews
59,itd,9.95,1.00E-05,1.00E-05,0.000114,rand,denews
60,itd,9.88333,1.00E-05,1.00E-05,0.000114,rand,denews
0,pmi,66.1552,1.00E-05,1.00E-05,0.000114,rand,denews
1,pmi,85.5363,1.00E-05,1.00E-05,0.000114,rand,denews
2,pmi,-29.5523,1.00E-05,1.00E-05,0.000114,rand,denews
3,pmi,47.8371,1.00E-05,1.00E-05,0.000114,rand,denews
4,pmi,48.6152,1.00E-05,1.00E-05,0.000114,rand,denews
5,pmi,65.941,1.00E-05,1.00E-05,0.000114,rand,denews
6,pmi,55.9522,1.00E-05,1.00E-05,0.000114,rand,denews
7,pmi,76.4353,1.00E-05,1.00E-05,0.000114,rand,denews
8,pmi,14.366,1.00E-05,1.00E-05,0.000114,rand,denews
9,pmi,3.38577,1.00E-05,1.00E-05,0.000114,rand,denews
10,pmi,84.3135,1.00E-05,1.00E-05,0.000114,rand,denews
11,pmi,54.4047,1.00E-05,1.00E-05,0.000114,rand,denews
12,pmi,17.5445,1.00E-05,1.00E-05,0.000114,rand,denews
13,pmi,38.5783,1.00E-05,1.00E-05,0.000114,rand,denews
14,pmi,31.4534,1.00E-05,1.00E-05,0.000114,rand,denews
15,pmi,0.439105,1.00E-05,1.00E-05,0.000114,rand,denews
16,pmi,-16.4806,1.00E-05,1.00E-05,0.000114,rand,denews
17,pmi,72.3738,1.00E-05,1.00E-05,0.000114,rand,denews
18,pmi,57.8985,1.00E-05,1.00E-05,0.000114,rand,denews
19,pmi,43.626,1.00E-05,1.00E-05,0.000114,rand,denews
20,pmi,54.0493,1.00E-05,1.00E-05,0.000114,rand,denews
21,pmi,52.2067,1.00E-05,1.00E-05,0.000114,rand,denews
22,pmi,13.2811,1.00E-05,1.00E-05,0.000114,rand,denews
23,pmi,28.8859,1.00E-05,1.00E-05,0.000114,rand,denews
24,pmi,28.1393,1.00E-05,1.00E-05,0.000114,rand,denews
25,pmi,10.5878,1.00E-05,1.00E-05,0.000114,rand,denews
26,pmi,16.9513,1.00E-05,1.00E-05,0.000114,rand,denews
27,pmi,51.8833,1.00E-05,1.00E-05,0.000114,rand,denews
28,pmi,53.6117,1.00E-05,1.00E-05,0.000114,rand,denews
29,pmi,55.9255,1.00E-05,1.00E-05,0.000114,rand,denews
30,pmi,32.6963,1.00E-05,1.00E-05,0.000114,rand,denews
31,pmi,37.7537,1.00E-05,1.00E-05,0.000114,rand,denews
32,pmi,7.13883,1.00E-05,1.00E-05,0.000114,rand,denews
33,pmi,40.0268,1.00E-05,1.00E-05,0.000114,rand,denews
34,pmi,21.9209,1.00E-05,1.00E-05,0.000114,rand,denews
35,pmi,18.6532,1.00E-05,1.00E-05,0.000114,rand,denews
36,pmi,-16.2013,1.00E-05,1.00E-05,0.000114,rand,denews
37,pmi,43.4561,1.00E-05,1.00E-05,0.000114,rand,denews
38,pmi,56.2538,1.00E-05,1.00E-05,0.000114,rand,denews
39,pmi,51.0841,1.00E-05,1.00E-05,0.000114,rand,denews
40,pmi,28.5083,1.00E-05,1.00E-05,0.000114,rand,denews
41,pmi,51.302,1.00E-05,1.00E-05,0.000114,rand,denews
